source	term_id	term_name	p_value	term_size	query_size	intersection_size	precision	recall	intersection	effective_domain_size	gene_ratio	fold_enrich
KEGG	KEGG:02010	ABC transporters	0.00202154223674872	41	951	18	0.0189274447949527	0.439024390243902	ENSGALG00010004200,ENSGALG00010005222,ENSGALG00010007633,ENSGALG00010008148,ENSGALG00010011949,ENSGALG00010013156,ENSGALG00010013464,ENSGALG00010018864,ENSGALG00010020352,ENSGALG00010020360,ENSGALG00010020803,ENSGALG00010020934,ENSGALG00010021143,ENSGALG00010023276,ENSGALG00010024172,ENSGALG00010024309,ENSGALG00010027169,ENSGALG00010027974	5794	0.0189274447949527	2.67477110102331
KEGG	KEGG:04820	Cytoskeleton in muscle cells	0.00467257222088849	199	951	54	0.056782334384858	0.271356783919598	ENSGALG00010001347,ENSGALG00010001501,ENSGALG00010001695,ENSGALG00010001967,ENSGALG00010003222,ENSGALG00010003307,ENSGALG00010003489,ENSGALG00010003791,ENSGALG00010003978,ENSGALG00010004122,ENSGALG00010004256,ENSGALG00010004312,ENSGALG00010005351,ENSGALG00010005522,ENSGALG00010005632,ENSGALG00010008172,ENSGALG00010009679,ENSGALG00010010115,ENSGALG00010011076,ENSGALG00010011984,ENSGALG00010012285,ENSGALG00010012362,ENSGALG00010013386,ENSGALG00010014361,ENSGALG00010014655,ENSGALG00010014904,ENSGALG00010014929,ENSGALG00010015031,ENSGALG00010015483,ENSGALG00010015610,ENSGALG00010015733,ENSGALG00010016547,ENSGALG00010017873,ENSGALG00010020120,ENSGALG00010020265,ENSGALG00010020649,ENSGALG00010021085,ENSGALG00010021087,ENSGALG00010021232,ENSGALG00010021766,ENSGALG00010021931,ENSGALG00010022237,ENSGALG00010022837,ENSGALG00010023195,ENSGALG00010023702,ENSGALG00010023781,ENSGALG00010023984,ENSGALG00010025092,ENSGALG00010025286,ENSGALG00010025568,ENSGALG00010025849,ENSGALG00010026062,ENSGALG00010027959,ENSGALG00010028375	5794	0.056782334384858	1.65325047952697
