GeneID	Symbol	Synonyms	description	type_of_gene
113533982	xdh	-	xanthine dehydrogenase	protein-coding
113533983	prox1a	prox1	prospero homeobox 1a	protein-coding
113533984	LOC113533984	-	transcription factor SOX-4-like	protein-coding
113533985	LOC113533985	-	transmembrane protein 65	protein-coding
113533986	col10a1a	-	collagen, type X, alpha 1a	protein-coding
113533987	csf3r	-	colony stimulating factor 3 receptor	protein-coding
113533988	hhipl1	-	HHIP-like 1	protein-coding
113533989	ctsk	-	cathepsin K	protein-coding
113533990	dpyda.1	dpyd	dihydropyrimidine dehydrogenase a, tandem duplicate 1	protein-coding
113533991	LOC113533991	mmp16	matrix metalloproteinase-16	protein-coding
113533992	LOC113533992	-	gephyrin	protein-coding
113533993	lysmd1	-	LysM, putative peptidoglycan-binding, domain containing 1	protein-coding
113533994	tnfaip8l2b	-	tumor necrosis factor, alpha-induced protein 8-like 2b	protein-coding
113533995	mcl1b	-	MCL1 apoptosis regulator, BCL2 family member b	protein-coding
113533996	kif13ba	-	kinesin family member 13Ba	protein-coding
113533997	rorc	-	RAR-related orphan receptor C	protein-coding
113533998	gpatch4	-	G patch domain containing 4	protein-coding
113533999	mims1b	fam210ab	mitochondrial inner membrane scaffold 1b	protein-coding
113534000	ldlrad4b	-	low density lipoprotein receptor class A domain containing 4b	protein-coding
113534001	dnajc5aa	dnajc5	DnaJ (Hsp40) homolog, subfamily C, member 5aa	protein-coding
113534002	trdmt1	-	tRNA aspartic acid methyltransferase 1	protein-coding
113534004	dnah5	-	dynein, axonemal, heavy chain 5	protein-coding
113534005	rdh12l	-	retinol dehydrogenase 12, like	protein-coding
113534006	ulk4	-	unc-51 like kinase 4	protein-coding
113534007	LOC113534007	-	uncharacterized LOC113534007	protein-coding
113534008	ccdc28a	-	coiled-coil domain containing 28A	protein-coding
113534009	cntn3b	-	contactin 3b	protein-coding
113534010	LOC113534010	fbxo33	F-box only protein 33	protein-coding
113534011	daam1a	-	dishevelled associated activator of morphogenesis 1a	protein-coding
113534012	cnn3a	-	calponin 3, acidic a	protein-coding
113534013	csnk2a1	-	casein kinase 2, alpha 1 polypeptide	protein-coding
113534014	LOC113534014	-	synaptosomal-associated protein 23	protein-coding
113534015	alkbh1	-	alkB homolog 1, histone H2A dioxygenase	protein-coding
113534016	gemin2	-	gem (nuclear organelle) associated protein 2	protein-coding
113534017	dnal1	-	dynein, axonemal, light chain 1	protein-coding
113534018	pnn	-	pinin, desmosome associated protein	protein-coding
113534019	suv39h1a	-	SUV39H1 histone lysine methyltransferase a	protein-coding
113534020	sphk2	-	sphingosine kinase 2	protein-coding
113534022	cyth2	si:dkey-283b15.4	cytohesin 2	protein-coding
113534023	bcan	-	brevican	protein-coding
113534024	hapln2	-	hyaluronan and proteoglycan link protein 2	protein-coding
113534025	atg9b	-	autophagy related 9B	protein-coding
113534026	slc25a29l	-	solute carrier family 25 member 29-like	protein-coding
113534027	LOC113534027	-	C-C chemokine receptor type 5-like	pseudo
113534028	trnt1	-	tRNA nucleotidyl transferase, CCA-adding, 1	protein-coding
113534029	ipo4	-	importin 4	protein-coding
113534030	LOC113534030	-	C-C chemokine receptor type 4	protein-coding
113534031	dicer1	-	dicer 1, ribonuclease type III	protein-coding
113534032	LOC113534032	-	uncharacterized LOC113534032	protein-coding
113534033	acp5b	-	acid phosphatase 5b, tartrate resistant	protein-coding
113534034	f3a	-	coagulation factor IIIa	protein-coding
113534035	LOC113534035	ptp4a3b	protein tyrosine phosphatase 4A3b	protein-coding
113534036	LOC113534036	-	metalloreductase STEAP1	protein-coding
113534037	pomca	pomc	proopiomelanocortin a	protein-coding
113534038	LOC113534038	trnau1ap	tRNA selenocysteine 1-associated protein 1	protein-coding
113534039	pdcd6	-	programmed cell death 6	protein-coding
113534040	ctbs	-	chitobiase, di-N-acetyl-	protein-coding
113534041	irgq1	-	immunity-related GTPase family, q1	protein-coding
113534042	qkia	-	QKI, KH domain containing, RNA binding a	protein-coding
113534043	popdc3	-	popeye domain cAMP effector 3	protein-coding
113534044	cmtm8b	cmtm8	CKLF-like MARVEL transmembrane domain containing 8b	protein-coding
113534045	slirp	-	SRA stem-loop interacting RNA binding protein	protein-coding
113534046	LOC113534046	-	ATP-dependent zinc metalloprotease YME1L1	protein-coding
113534047	LOC113534047	-	uncharacterized LOC113534047	ncRNA
113534048	avpr2b.1	avpr2ba|avpr2ba.1|si:dkey-178o16.4	arginine vasopressin receptor 2b, tandem duplicate, 1	protein-coding
113534049	nanog	-	nanog homeobox	protein-coding
113534050	ncalda	-	neurocalcin delta a	protein-coding
113534051	adcy2a	-	adenylate cyclase 2a	protein-coding
113534052	ccdc175	-	coiled-coil domain containing 175	protein-coding
113534053	LOC113534053	-	uncharacterized LOC113534053	ncRNA
113534054	il17a/f2	-	interleukin 17a/f2	protein-coding
113534055	iffo1b	-	intermediate filament family orphan 1b	protein-coding
