GeneID	Symbol	Synonyms	description	type_of_gene
16216568	ND2	-	NADH dehydrogenase subunit 2	protein-coding
16216569	COX1	-	cytochrome c oxidase subunit I	protein-coding
16216570	COX2	-	cytochrome c oxidase subunit II	protein-coding
16216571	ATP8	-	ATP synthase F0 subunit 8	protein-coding
16216572	ATP6	-	ATP synthase F0 subunit 6	protein-coding
16216573	COX3	-	cytochrome c oxidase subunit III	protein-coding
16216574	ND3	-	NADH dehydrogenase subunit 3	protein-coding
16216575	ND4L	-	NADH dehydrogenase subunit 4L	protein-coding
16216576	ND4	-	NADH dehydrogenase subunit 4	protein-coding
16216577	ND6	-	NADH dehydrogenase subunit 6	protein-coding
16216578	CYTB	-	cytochrome b	protein-coding
16216579	ND5	-	NADH dehydrogenase subunit 5	protein-coding
16216580	ND1	-	NADH dehydrogenase subunit 1	protein-coding
38278547	NEWENTRY	-	Record to support submission of GeneRIFs for a gene not in Gene (Helicophagus hypophthalmus; Pangasius hypophthalmus; Pangasius sutchi; Sutchi catfish; Thailand catfish; iridescent shark-catfish; striped catfish).	other
113523648	med23	-	mediator complex subunit 23	protein-coding
113523649	cdc6	-	cell division cycle 6 homolog (S. cerevisiae)	protein-coding
113523651	LOC113523651	nptx1	neuronal pentraxin-1	protein-coding
113523653	rhbdl3	-	rhomboid, veinlet-like 3 (Drosophila)	protein-coding
113523654	LOC113523654	-	uncharacterized LOC113523654	ncRNA
113523655	LOC113523655	-	plakophilin-4	protein-coding
113523656	cd7al	-	cd7 antigen-like	protein-coding
113523658	LOC113523658	endov	endonuclease V	protein-coding
113523659	tefm	-	transcription elongation factor, mitochondrial	protein-coding
113523660	LOC113523660	-	E3 ubiquitin-protein ligase RNF135	protein-coding
113523661	utp6	-	UTP6 small subunit processome component	protein-coding
113523662	dgke	-	diacylglycerol kinase, epsilon	protein-coding
113523663	LOC113523663	-	membrane-spanning 4-domains subfamily A member 15	protein-coding
113523664	LOC113523664	-	membrane-spanning 4-domains subfamily A member 15	protein-coding
113523665	si:ch211-188c18.1	-	uncharacterized si:ch211-188c18.1	protein-coding
113523666	kdf1a	-	keratinocyte differentiation factor 1a	protein-coding
113523667	LOC113523667	-	endonuclease domain-containing 1 protein-like	protein-coding
113523669	eomesb	-	eomesodermin homolog b	protein-coding
113523670	cmc1	-	C-x(9)-C motif containing 1	protein-coding
113523672	azi2	-	5-azacytidine induced 2	protein-coding
113523673	cndp1	zgc:114181	carnosine dipeptidase 1	protein-coding
113523674	tbx20	-	T-box transcription factor 20	protein-coding
113523675	septin9b	sept9b	septin 9b	protein-coding
113523676	tnrc6c2	-	trinucleotide repeat containing adaptor 6C2	protein-coding
113523677	LOC113523677	-	uncharacterized LOC113523677	protein-coding
113523678	LOC113523678	-	G-protein coupled receptor 35-like	protein-coding
113523679	rhot1b	-	ras homolog family member T1	protein-coding
113523680	suz12b	-	SUZ12 polycomb repressive complex 2 subunit b	protein-coding
113523681	card14	-	caspase recruitment domain family, member 14	protein-coding
113523682	ccdc40	-	coiled-coil domain 40 molecular ruler complex subunit	protein-coding
113523683	p4hb	-	prolyl 4-hydroxylase, beta polypeptide	protein-coding
113523684	rptor	-	regulatory associated protein of MTOR, complex 1	protein-coding
113523685	si:dkey-237i9.1	-	SEC14-like protein 1	protein-coding
113523686	LOC113523686	-	uncharacterized LOC113523686	protein-coding
113523687	LOC113523687	-	uncharacterized LOC113523687	protein-coding
113523688	LOC113523688	-	uncharacterized LOC113523688	protein-coding
113523690	trim25	-	tripartite motif containing 25	protein-coding
113523691	pecam1b	si:dkey-237i9.8	platelet and endothelial cell adhesion molecule 1b	protein-coding
113523693	LOC113523693	-	E3 SUMO-protein ligase CBX4	protein-coding
113523694	rab11fip4b	-	RAB11 family interacting protein 4 (class II) b	protein-coding
113523695	cbx8b	-	chromobox homolog 8b	protein-coding
113523696	LOC113523696	-	mapk-regulated corepressor-interacting protein 1	protein-coding
113523697	LOC113523697	-	endonuclease domain-containing 1 protein	protein-coding
113523698	atad5b	-	ATPase family AAA domain containing 5b	protein-coding
113523699	LOC113523699	-	endonuclease domain-containing 1 protein-like	protein-coding
113523700	ppp1r27b	ppp1r27	protein phosphatase 1, regulatory subunit 27b	protein-coding
113523701	LOC113523701	-	uncharacterized LOC113523701	protein-coding
113523702	c2h17orf67	cunh17orf67	chromosome 2 C17orf67 homolog	protein-coding
113523703	plxna1b	plxna1	plexin A1b	protein-coding
113523704	anapc11	-	APC11 anaphase promoting complex subunit 11 homolog (yeast)	protein-coding
113523705	ncoa7a	-	nuclear receptor coactivator 7a	protein-coding
113523706	LOC113523706	-	membrane-spanning 4-domains subfamily A member 4A-like	protein-coding
113523707	LOC113523707	-	membrane-spanning 4-domains subfamily A member 4A	protein-coding
113523709	wdtc1	-	WD and tetratricopeptide repeats 1	protein-coding
113523710	znf207b	-	zinc finger protein 207, b	protein-coding
113523711	LOC113523711	-	membrane-spanning 4-domains subfamily A member 4A	protein-coding
113523714	ska2	-	spindle and kinetochore associated complex subunit 2	protein-coding
113523715	zgc:153345	-	uncharacterized LOC113523715	protein-coding
113523716	mdh2	-	malate dehydrogenase 2, NAD (mitochondrial)	protein-coding
113523717	LOC113523717	-	C2 domain-containing protein 2	protein-coding
113523721	prr35	-	proline rich 35	protein-coding
113523722	LOC113523722	-	pentraxin fusion protein-like	pseudo
113523723	LOC113523723	-	pentraxin fusion protein-like	protein-coding
113523724	LOC113523724	-	pentraxin fusion protein-like	pseudo
113523725	luc7l	-	LUC7-like (S. cerevisiae)	protein-coding
113523726	LOC113523726	-	uncharacterized LOC113523726	protein-coding
113523728	ryr1a	-	ryanodine receptor 1a (skeletal)	protein-coding
113523729	LOC113523729	-	inactive serine/threonine-protein kinase TEX14	protein-coding
113523732	ints2	-	integrator complex subunit 2	protein-coding
113523733	nostrin	-	nitric oxide synthase trafficking	protein-coding
113523734	phldb2a	-	pleckstrin homology-like domain, family B, member 2a	protein-coding
113523735	LOC113523735	-	NACHT, LRR and PYD domains-containing protein 3-like	protein-coding
113523736	si:ch211-244c8.4	-	APC membrane recruitment protein 2	protein-coding
113523737	LOC113523737	-	NACHT, LRR and PYD domains-containing protein 3-like	protein-coding
113523739	LOC113523739	-	NLR family CARD domain-containing protein 3-like	protein-coding
113523740	rnft1	-	ring finger protein, transmembrane 1	protein-coding
113523741	LOC113523741	-	CD276 antigen homolog	protein-coding
113523742	c1ql2	-	complement component 1, q subcomponent-like 2	protein-coding
113523743	ccdc78	-	coiled-coil domain containing 78	protein-coding
113523744	stub1	-	STIP1 homology and U-Box containing protein 1	protein-coding
113523745	LOC113523745	-	pentraxin fusion protein-like	protein-coding
113523746	LOC113523746	-	pentraxin fusion protein	protein-coding
113523747	LOC113523747	-	pentraxin fusion protein	protein-coding
113523748	ptrh2	-	peptidyl-tRNA hydrolase 2	protein-coding
113523749	LOC113523749	-	uncharacterized LOC113523749	protein-coding
113523750	wnt6b	wnt6	wingless-type MMTV integration site family, member 6b	protein-coding
113523751	metrn	-	meteorin, glial cell differentiation regulator	protein-coding
113523752	LOC113523752	-	putative leucine-rich repeat-containing protein DDB_G0290503	protein-coding
113523753	LOC113523753	-	V-type proton ATPase subunit F-like	pseudo
113523754	LOC113523754	-	ribonuclease inhibitor-like	protein-coding
113523755	LOC113523755	-	NXPE family member 3	protein-coding
113523756	LOC113523756	-	uncharacterized LOC113523756	protein-coding
113523758	LOC113523758	-	uncharacterized LOC113523758	ncRNA
113523760	LOC113523760	-	uncharacterized LOC113523760	ncRNA
113523761	LOC113523761	-	beta-galactoside-binding lectin	protein-coding
113523762	LOC113523762	-	apolipoprotein L2	protein-coding
113523763	prdm1b	-	PR domain containing 1b, with ZNF domain	protein-coding
113523764	anxa14	zgc:101785	annexin A14	protein-coding
113523765	ier2a	-	immediate early response 2a	protein-coding
113523766	LOC113523766	-	uncharacterized LOC113523766	protein-coding
113523767	rpl14	-	ribosomal protein L14	protein-coding
113523768	LOC113523768	-	somatostatin receptor type 5-like	protein-coding
113523769	tmc5	-	transmembrane channel like 5	protein-coding
113523770	si:ch73-359m17.9	-	uncharacterized LOC113523770	protein-coding
113523771	gtf2f1	-	general transcription factor IIF, polypeptide 1	protein-coding
113523772	sgsm3	-	small G protein signaling modulator 3	protein-coding
113523773	gtpbp1	-	GTP binding protein 1	protein-coding
113523774	LOC113523774	-	voltage-dependent T-type calcium channel subunit alpha-1I	protein-coding
113523775	LOC113523775	-	proteinase-activated receptor 2-like	protein-coding
113523776	abhd5b	-	abhydrolase domain containing 5, lysophosphatidic acid acyltransferase b	protein-coding
113523777	LOC113523777	artn	neurturin	protein-coding
113523778	sgo1	-	shugoshin 1	protein-coding
113523780	LOC113523780	-	prolyl endopeptidase	protein-coding
113523781	cacna1aa	cacna1a	calcium channel, voltage-dependent, P/Q type, alpha 1A subunit, a	protein-coding
113523782	cfap91	maats1	cilia and flagella associated protein 91	protein-coding
113523783	c13h17orf75	cunh17orf75	chromosome 13 C17orf75 homolog	protein-coding
113523784	rps15a	-	ribosomal protein S15a	protein-coding
113523786	apol	-	apolipoprotein L	protein-coding
113523787	LOC113523787	-	uncharacterized LOC113523787	protein-coding
113523788	LOC113523788	-	GTPase IMAP family member 4	protein-coding
113523789	kctd4	-	potassium channel tetramerization domain containing 4	protein-coding
113523790	LOC113523790	-	ephrin type-A receptor 7	protein-coding
113523791	nacc1a	-	nucleus accumbens associated 1, BEN and BTB (POZ) domain containing a	protein-coding
113523792	LOC113523792	-	GRB2-related adapter protein	protein-coding
113523793	rac2	-	Rac family small GTPase 2	protein-coding
113523794	gtf2f2b	-	general transcription factor IIF, polypeptide 2b	protein-coding
113523795	crybg2	-	crystallin beta-gamma domain containing 2	protein-coding
113523796	alkbh7	-	alkB homolog 7, RNA demethylase	protein-coding
113523797	LOC113523797	-	protein phosphatase 1 regulatory subunit 29	protein-coding
113523798	LOC113523798	-	mucin-2	protein-coding
113523799	xylt1	-	xylosyltransferase I	protein-coding
113523800	LOC113523800	-	cytohesin-2	protein-coding
113523801	LOC113523801	-	protein FAM83F	protein-coding
113523802	sult3st1	-	sulfotransferase family 3, cytosolic sulfotransferase 1	protein-coding
113523803	nr4a2a	nr4a2	nuclear receptor subfamily 4, group A, member 2a	protein-coding
113523805	trnap-agg	-	transfer RNA proline (anticodon AGG)	tRNA
113523806	trnap-agg	-	transfer RNA proline (anticodon AGG)	tRNA
113523807	trnap-agg	-	transfer RNA proline (anticodon AGG)	tRNA
113523808	trnai-uau	-	transfer RNA isoleucine (anticodon UAU)	tRNA
113523809	LOC113523809	-	Ig kappa chain V region K29-213-like	other
113523810	LOC113523810	-	immunoglobulin kappa variable 1-39-like	other
113523811	LOC113523811	-	immunoglobulin kappa variable 6-21-like	other
113523813	LOC113523813	-	uncharacterized LOC113523813	ncRNA
113523814	LOC113523814	-	immunoglobulin kappa constant-like	other
113523815	LOC113523815	-	uncharacterized LOC113523815	ncRNA
113523816	khdrbs3	-	KH domain containing, RNA binding, signal transduction associated 3	protein-coding
113523817	LOC113523817	-	neural cell adhesion molecule 2	protein-coding
113523818	LOC113523818	-	uncharacterized LOC113523818	protein-coding
113523819	chaf1b	-	chromatin assembly factor 1, subunit B	protein-coding
113523820	cratb	-	carnitine O-acetyltransferase b	protein-coding
113523823	LOC113523823	-	CD276 antigen homolog	protein-coding
113523824	col22a1	-	collagen, type XXII, alpha 1	protein-coding
113523826	LOC113523826	-	CD276 antigen homolog	protein-coding
113523827	vps52	-	VPS52 subunit of GARP complex	protein-coding
113523828	slc39a7	-	solute carrier family 39 member 7	protein-coding
113523831	LOC113523831	-	uncharacterized LOC113523831	ncRNA
113523832	LOC113523832	-	immunoglobulin kappa constant-like	other
113523833	LOC113523833	-	immunoglobulin kappa variable 6-21-like	other
113523834	ppt2b	-	palmitoyl-protein thioesterase 2b	protein-coding
113523835	LOC113523835	-	collagen alpha-3(IX) chain-like	protein-coding
113523839	fam135b	-	family with sequence similarity 135 member B	protein-coding
113523840	LOC113523840	-	immunoglobulin kappa constant-like	other
113523841	LOC113523841	-	butyrophilin subfamily 1 member A1	protein-coding
113523842	ddah2	-	DDAH family member 2, ADMA-independent	protein-coding
113523843	clic1	-	CLIC family member 1	protein-coding
113523844	rps5	-	ribosomal protein S5	protein-coding
113523845	LOC113523845	-	lymphocyte antigen 6B-like	protein-coding
113523847	LOC113523847	-	CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase 1	protein-coding
113523848	LOC113523848	-	CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase 1	protein-coding
113523849	LOC113523849	-	MORC family CW-type zinc finger protein 3-like	pseudo
113523852	zbtb22a	-	zinc finger and BTB domain containing 22a	protein-coding
113523853	dzip1l	-	DAZ interacting zinc finger protein 1-like	protein-coding
113523854	lacc1	-	laccase (multicopper oxidoreductase) domain containing 1	protein-coding
113523855	LOC113523855	-	CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase 1	protein-coding
113523856	rps18	-	ribosomal protein S18	protein-coding
113523857	LOC113523857	-	small nucleolar RNA SNORA3/SNORA45 family	snoRNA
113523858	LOC113523858	-	small nucleolar RNA SNORA3/SNORA45 family	snoRNA
113523859	LOC113523859	-	small nucleolar RNA SNORA3/SNORA45 family	snoRNA
113523860	trnac-gca	-	transfer RNA cysteine (anticodon GCA)	tRNA
113523861	trnac-gca	-	transfer RNA cysteine (anticodon GCA)	tRNA
113523862	trnac-gca	-	transfer RNA cysteine (anticodon GCA)	tRNA
113523864	trnac-gca	-	transfer RNA cysteine (anticodon GCA)	tRNA
113523865	trnac-gca	-	transfer RNA cysteine (anticodon GCA)	tRNA
113523866	trnac-gca	-	transfer RNA cysteine (anticodon GCA)	tRNA
113523867	LOC113523867	-	transmembrane protein 42	protein-coding
113523868	LOC113523868	-	uncharacterized LOC113523868	protein-coding
113523869	kalrna	kalrn	kalirin RhoGEF kinase a	protein-coding
113523871	LOC113523871	-	type I phosphatidylinositol 4,5-bisphosphate 4-phosphatase-B	protein-coding
113523872	slc35e3	-	solute carrier family 35 member E3	protein-coding
113523874	LOC113523874	-	uncharacterized LOC113523874	protein-coding
113523875	myf6	-	myogenic factor 6	protein-coding
113523876	myf5	-	myogenic factor 5	protein-coding
113523877	LOC113523877	-	uncharacterized LOC113523877	protein-coding
113523878	eomesa	-	eomesodermin homolog a	protein-coding
113523879	lhfpl3	-	LHFPL tetraspan subfamily member 3	protein-coding
113523880	golgb1	-	golgin B1	protein-coding
113523881	orc5	-	origin recognition complex, subunit 5	protein-coding
113523882	kmt2e	-	lysine (K)-specific methyltransferase 2E	protein-coding
113523883	kdm7aa	-	lysine (K)-specific demethylase 7Aa	protein-coding
113523884	sema3c	-	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3C	protein-coding
113523885	gnai1	-	guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 1	protein-coding
113523886	magi2a	-	membrane associated guanylate kinase, WW and PDZ domain containing 2a	protein-coding
113523887	nup107	-	nucleoporin 107	protein-coding
113523888	mdm2	-	MDM2 proto-oncogene	protein-coding
113523889	LOC113523889	-	probable non-functional immunoglobulin kappa variable 6D-41	other
113523890	dus3l	-	dihydrouridine synthase 3-like (S. cerevisiae)	protein-coding
113523892	llph	-	LLP homolog, long-term synaptic facilitation factor	protein-coding
113523893	LOC113523893	mterf1	transcription termination factor 1b, mitochondrial	protein-coding
113523894	hcls1	-	hematopoietic cell-specific Lyn substrate 1	protein-coding
113523895	rbm44	-	RNA binding motif protein 44	protein-coding
113523896	rps16	-	ribosomal protein S16	protein-coding
113523897	guca1aa	guca1a	guanylate cyclase activator 1Aa	protein-coding
113523898	LOC113523898	-	4-galactosyl-N-acetylglucosaminide 3-alpha-L-fucosyltransferase 9-like	protein-coding
113523899	LOC113523899	-	palmitoyltransferase ZDHHC3	protein-coding
113523900	lin7a	-	lin-7 homolog A (C. elegans)	protein-coding
113523903	LOC113523903	-	TGF-beta receptor type-2	protein-coding
113523904	acss3	-	acyl-CoA synthetase short chain family member 3	protein-coding
113523905	cd36	-	CD36 molecule (CD36 blood group)	protein-coding
113523906	e2f8	-	E2F transcription factor 8	protein-coding
113523907	LOC113523907	-	uncharacterized LOC113523907	pseudo
113523909	LOC113523909	-	uncharacterized LOC113523909	protein-coding
113523911	slc38a7	-	solute carrier family 38 member 7	protein-coding
113523912	spc25	-	SPC25 component of NDC80 kinetochore complex	protein-coding
113523913	nav2a	nav2	neuron navigator 2a	protein-coding
113523914	tollip	-	toll interacting protein	protein-coding
113523915	slc35c1	-	solute carrier family 35 member C1	protein-coding
113523916	LOC113523916	-	ras-related and estrogen-regulated growth inhibitor-like	protein-coding
113523917	LOC113523917	-	uncharacterized LOC113523917	protein-coding
113523918	dbx1a	-	developing brain homeobox 1a	protein-coding
113523919	LOC113523919	-	chemokine (C-X-C motif) receptor 1	protein-coding
113523920	htatip2	-	HIV-1 Tat interactive protein 2	protein-coding
113523924	LOC113523924	nell1	protein kinase C-binding protein NELL1	protein-coding
113523925	lrp4	-	low density lipoprotein receptor-related protein 4	protein-coding
113523927	LOC113523927	-	mucin-5AC-like	protein-coding
113523928	LOC113523928	ap2a2	AP-2 complex subunit alpha-2	protein-coding
113523929	arih1l	-	ariadne homolog, ubiquitin-conjugating enzyme E2 binding protein, 1 like	protein-coding
113523930	tbr1b	tbr1	T-box brain transcription factor 1b	protein-coding
113523931	elp4	-	elongator acetyltransferase complex subunit 4	protein-coding
113523932	immp1l	-	inner mitochondrial membrane peptidase subunit 1	protein-coding
113523933	prmt3	-	protein arginine methyltransferase 3	protein-coding
113523934	helz2a	helz2	helicase with zinc finger 2a	protein-coding
113523935	LOC113523935	-	very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase	protein-coding
113523936	LOC113523936	-	uncharacterized LOC113523936	protein-coding
113523937	slc6a5	-	solute carrier family 6 member 5	protein-coding
113523938	gtf2a2	-	general transcription factor IIA, 2	protein-coding
113523939	LOC113523939	-	calretinin	protein-coding
113523940	LOC113523940	-	annexin A2-B	protein-coding
113523941	LOC113523941	-	uncharacterized LOC113523941	protein-coding
113523943	LOC113523943	-	cytoskeleton-associated protein 5-A	protein-coding
113523944	mapk8ip1b	mapk8ip1	mitogen-activated protein kinase 8 interacting protein 1b	protein-coding
113523945	serp2	-	stress-associated endoplasmic reticulum protein family member 2	protein-coding
113523946	LOC113523946	-	mucin-5AC	protein-coding
113523947	cmtr2	-	cap methyltransferase 2	protein-coding
113523948	mrpl21	-	mitochondrial ribosomal protein L21	protein-coding
113523950	LOC113523950	-	uncharacterized LOC113523950	protein-coding
113523951	LOC113523951	-	uncharacterized LOC113523951	protein-coding
113523952	LOC113523952	-	uncharacterized LOC113523952	protein-coding
113523953	LOC113523953	-	uncharacterized LOC113523953	ncRNA
113523954	LOC113523954	-	stonustoxin subunit beta-like	protein-coding
113523955	LOC113523955	-	uncharacterized LOC113523955	protein-coding
113523956	trnar-acg	-	transfer RNA arginine (anticodon ACG)	tRNA
113523957	LOC113523957	-	RNA binding protein fox-1 homolog 3	protein-coding
113523958	tmem100a	-	transmembrane protein 100a	protein-coding
113523959	LOC113523959	-	uncharacterized LOC113523959	ncRNA
113523960	uqcrfs1	-	ubiquinol-cytochrome c reductase, Rieske iron-sulfur polypeptide 1	protein-coding
113523961	LOC113523961	si:ch211-108d22.2	uncharacterized LOC113523961	protein-coding
113523962	LOC113523962	-	phospholipase A2-like	protein-coding
113523963	LOC113523963	-	protein shisa-6	protein-coding
113523965	LOC113523965	hlfa	hepatic leukemia factor	protein-coding
113523966	ikzf2	-	IKAROS family zinc finger 2	protein-coding
113523967	foxk2b	-	forkhead box K2b	protein-coding
113523968	elac2	-	elaC ribonuclease Z 2	protein-coding
113523969	map2k4a	-	mitogen-activated protein kinase kinase 4a	protein-coding
113523970	LOC113523970	-	uncharacterized LOC113523970	protein-coding
113523971	LOC113523971	-	ectonucleotide pyrophosphatase/phosphodiesterase family member 7	protein-coding
113523972	vstm2b	-	V-set and transmembrane domain containing 2B	protein-coding
113523973	nog1	-	noggin 1	protein-coding
113523974	LOC113523974	-	transmembrane protein 238-like	protein-coding
113523975	cbx2	-	chromobox homolog 2 (Drosophila Pc class)	protein-coding
113523976	trnad-guc	-	transfer RNA aspartic acid (anticodon GUC)	tRNA
113523978	kiaa0232	-	KIAA0232 ortholog	protein-coding
113523980	tnfsf13b	-	TNF superfamily member 13b	protein-coding
113523981	dync2i1	wdr60	dynein 2 intermediate chain 1	protein-coding
113523982	patj	-	PATJ crumbs cell polarity complex component	protein-coding
113523983	LOC113523983	-	uncharacterized LOC113523983	protein-coding
113523984	LOC113523984	pogk	pogo transposable element with KRAB domain	protein-coding
113523985	LOC113523985	-	uncharacterized LOC113523985	protein-coding
113523986	LOC113523986	-	fractalkine-like	protein-coding
113523987	LOC113523987	-	C-C motif chemokine 3-like	protein-coding
113523988	si:ch211-184m13.4	-	uncharacterized LOC113523988	protein-coding
113523989	LOC113523989	-	nuclear factor 7, brain-like	protein-coding
113523990	LOC113523990	-	uncharacterized LOC113523990	protein-coding
113523991	esyt2b	-	extended synaptotagmin-like protein 2b	protein-coding
113523992	LOC113523992	-	Fc receptor-like protein 6	protein-coding
113523993	LOC113523993	-	immunoglobulin superfamily member 1-like	protein-coding
113523994	sorcs2	-	sortilin-related VPS10 domain containing receptor 2	protein-coding
113523996	dnajb6b	dnajb6	DnaJ heat shock protein family (Hsp40) member B6b	protein-coding
113523997	sgo2	si:dkey-57a22.11	shugoshin 2	protein-coding
113523998	greb1l	-	GREB1 like retinoic acid receptor coactivator	protein-coding
113523999	abhd3	-	abhydrolase domain containing 3, phospholipase	protein-coding
113524000	LOC113524000	-	uncharacterized LOC113524000	protein-coding
113524001	LOC113524001	-	E3 ubiquitin-protein ligase TRIM39	protein-coding
113524002	tada2b	-	transcriptional adaptor 2B	protein-coding
113524003	cfap184	ccdc96	cilia and flagella associated protein 184	protein-coding
113524004	LOC113524004	-	C-C motif chemokine 3-like	protein-coding
113524006	gpr156	-	G protein-coupled receptor 156	protein-coding
113524007	LOC113524007	-	regakine-1	protein-coding
113524008	LOC113524008	-	uncharacterized LOC113524008	ncRNA
113524010	ptprn2	-	protein tyrosine phosphatase receptor type N2	protein-coding
113524011	ncapg2	-	non-SMC condensin II complex, subunit G2	protein-coding
113524012	LOC113524012	-	C-C motif chemokine 3-like	protein-coding
113524013	LOC113524013	-	C-C motif chemokine 3-like	protein-coding
113524014	LOC113524014	-	uncharacterized LOC113524014	protein-coding
113524015	grpel1	-	GrpE-like 1, mitochondrial	protein-coding
113524016	LOC113524016	-	C-C motif chemokine 4 homolog	protein-coding
113524017	trnag-ucc	-	transfer RNA glycine (anticodon UCC)	tRNA
113524018	col4a2	-	collagen, type IV, alpha 2	protein-coding
113524019	trnav-aac	-	transfer RNA valine (anticodon AAC)	tRNA
113524020	trnav-cac	-	transfer RNA valine (anticodon CAC)	tRNA
113524021	trnav-aac	-	transfer RNA valine (anticodon AAC)	tRNA
113524022	trnav-aac	-	transfer RNA valine (anticodon AAC)	tRNA
113524023	il2rb	-	interleukin 2 receptor, beta	protein-coding
113524025	LOC113524025	-	uncharacterized LOC113524025	protein-coding
113524026	mif4gdb	mif4gd	MIF4G domain containing b	protein-coding
113524027	desi1a	-	desumoylating isopeptidase 1a	protein-coding
113524028	xpnpep3	-	X-prolyl aminopeptidase 3, mitochondrial	protein-coding
113524029	LOC113524029	-	uncharacterized LOC113524029	protein-coding
113524030	rplp2b	rplp2l	ribosomal protein, large P2b	protein-coding
113524031	LOC113524031	-	uncharacterized LOC113524031	protein-coding
113524032	LOC113524032	-	NACHT, LRR and PYD domains-containing protein 3	protein-coding
113524033	LOC113524033	-	NACHT, LRR and PYD domains-containing protein 4E-like	protein-coding
113524034	LOC113524034	-	NACHT, LRR and PYD domains-containing protein 12-like	protein-coding
113524036	col4a1	-	collagen, type IV, alpha 1	protein-coding
113524038	LOC113524038	-	NLR family CARD domain-containing protein 3-like	protein-coding
113524039	LOC113524039	-	uncharacterized LOC113524039	ncRNA
113524040	LOC113524040	-	uncharacterized LOC113524040	protein-coding
113524041	LOC113524041	-	uncharacterized LOC113524041	protein-coding
113524042	LOC113524042	-	uncharacterized LOC113524042	protein-coding
113524043	LOC113524043	-	uncharacterized LOC113524043	protein-coding
113524044	LOC113524044	-	uncharacterized LOC113524044	protein-coding
113524045	gpr39	-	G protein-coupled receptor 39	protein-coding
113524046	tcf20	-	transcription factor 20	protein-coding
113524048	fth1a	-	ferritin, heavy polypeptide 1a	protein-coding
113524049	tmem220	-	transmembrane protein 220	protein-coding
113524050	slc25a19	-	solute carrier family 25 member 19	protein-coding
113524051	jmjd8	-	jumonji domain containing 8	protein-coding
113524052	hspbp1	-	HSPA (heat shock 70kDa) binding protein, cytoplasmic cochaperone 1	protein-coding
113524053	LOC113524053	-	uncharacterized LOC113524053	protein-coding
113524054	LOC113524054	mpst|zgc:162544	mercaptopyruvate sulfurtransferase	protein-coding
113524055	nrp2b	-	neuropilin 2b	protein-coding
113524056	mief1	-	mitochondrial elongation factor 1	protein-coding
113524057	napsa	-	napsin A aspartic peptidase	protein-coding
113524058	ep300b	-	EP300 lysine acetyltransferase b	protein-coding
113524059	st13	-	ST13 Hsp70 interacting protein	protein-coding
113524060	LOC113524060	-	zinc finger protein ZFP2	protein-coding
113524061	ddx47	-	DEAD (Asp-Glu-Ala-Asp) box polypeptide 47	protein-coding
113524062	LOC113524062	-	inner centromere protein A	protein-coding
113524063	LOC113524063	-	uncharacterized LOC113524063	protein-coding
113524064	LOC113524064	-	uncharacterized LOC113524064	protein-coding
113524067	LOC113524067	-	NLR family CARD domain-containing protein 3-like	protein-coding
113524069	LOC113524069	-	NACHT, LRR and PYD domains-containing protein 3-like	protein-coding
113524070	LOC113524070	-	uncharacterized LOC113524070	protein-coding
113524071	LOC113524071	-	zinc finger protein OZF	protein-coding
113524072	LOC113524072	-	NACHT, LRR and PYD domains-containing protein 3	protein-coding
113524073	LOC113524073	-	zinc finger protein 135	protein-coding
113524074	rbx1	-	ring-box 1, E3 ubiquitin protein ligase	protein-coding
113524075	LOC113524075	-	uncharacterized LOC113524075	ncRNA
113524076	mrps7	-	mitochondrial ribosomal protein S7	protein-coding
113524077	LOC113524077	tex33	testis-expressed protein 33	protein-coding
113524078	si:ch1073-416j23.1	-	rac GTPase-activating protein 1	protein-coding
113524079	fmc1	-	formation of mitochondrial complex V assembly factor 1	protein-coding
113524080	wbp2nl	-	WBP2 N-terminal like	protein-coding
113524081	cbx7a	-	chromobox homolog 7a	protein-coding
113524082	zgc:65811	-	uncharacterized LOC113524082	protein-coding
113524083	LOC113524083	-	cancer-associated gene 1 protein	protein-coding
113524084	LOC113524084	-	complement C1q tumor necrosis factor-related protein 6-like	protein-coding
113524085	LOC113524085	-	beta-1,4-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase-like	protein-coding
113524086	grin2ba	-	glutamate receptor, ionotropic, N-methyl D-aspartate 2B, genome duplicate a	protein-coding
113524087	wbp11	-	WW domain binding protein 11	protein-coding
113524088	tufm	-	Tu translation elongation factor, mitochondrial	protein-coding
113524089	LOC113524089	-	epithelial membrane protein 2	protein-coding
113524090	mgp	-	matrix Gla protein	protein-coding
113524091	LOC113524091	-	uncharacterized LOC113524091	protein-coding
113524092	trnaq-cug	-	transfer RNA glutamine (anticodon CUG)	tRNA
113524093	trnas-cga	-	transfer RNA serine (anticodon CGA)	tRNA
113524094	LOC113524094	-	uncharacterized LOC113524094	protein-coding
113524095	LOC113524095	-	aquaporin-1-like	protein-coding
113524096	LOC113524096	tbc1d14	TBC1 domain family member 14	protein-coding
113524097	LOC113524097	-	aquaporin-1	protein-coding
